#"Battery Voltage, Temperature, State of Charge"
#"Building: ECB, Meter: Combox"
#"State of charge data is provided by monitoring systems as total state of charge, not usable state of charge."
#"The batteries are only usable between 70% and 100% of total charge."
#"This site's homepage shows a calculated usable state of charge percentage."
Date,"voltage (V)","temperature (degrees C)","stateOfCharge (%)"
"2021-07-31 23:50:00",49.65,25.40,78
"2021-07-31 23:40:00",49.68,25.30,79
"2021-07-31 23:30:00",49.84,25.50,79
"2021-07-31 23:20:00",49.70,25.40,80
"2021-07-31 23:10:00",49.89,25.50,80
"2021-07-31 23:00:00",49.90,25.50,81
"2021-07-31 22:50:00",50.04,25.70,82
"2021-07-31 22:40:00",49.90,25.60,82
"2021-07-31 22:30:00",49.99,25.70,83
"2021-07-31 22:20:00",49.95,25.60,83
"2021-07-31 22:10:00",50.15,25.80,84
"2021-07-31 22:00:00",49.96,25.70,85
"2021-07-31 21:50:00",50.18,25.90,86
"2021-07-31 21:40:00",50.03,25.80,86
"2021-07-31 21:30:00",50.20,25.90,87
"2021-07-31 21:20:00",50.08,25.70,88
"2021-07-31 21:10:00",50.39,25.90,89
"2021-07-31 21:00:00",50.28,25.80,89
"2021-07-31 20:50:00",50.34,26.00,90
"2021-07-31 20:40:00",50.49,25.90,91
"2021-07-31 20:30:00",50.41,26.00,92
"2021-07-31 20:20:00",50.50,25.90,92
"2021-07-31 20:10:00",50.60,26.00,93
"2021-07-31 20:00:00",50.38,25.80,94
"2021-07-31 19:50:00",50.76,25.90,95
"2021-07-31 19:40:00",50.77,26.00,95
"2021-07-31 19:30:00",50.83,25.90,96
"2021-07-31 19:20:00",50.85,25.90,97
"2021-07-31 19:10:00",51.07,25.80,97
"2021-07-31 19:00:00",51.07,25.80,98
"2021-07-31 18:50:00",51.20,25.70,98
"2021-07-31 18:40:00",51.16,25.30,99
"2021-07-31 18:30:00",51.35,25.50,99
"2021-07-31 18:20:00",51.35,25.70,100
"2021-07-31 18:10:00",51.91,25.60,100
"2021-07-31 18:00:00",53.37,25.60,100
"2021-07-31 17:50:00",56.25,25.90,100
"2021-07-31 17:40:00",56.22,25.80,100
"2021-07-31 17:30:00",56.27,25.80,100
"2021-07-31 17:20:00",56.26,25.80,100
"2021-07-31 17:10:00",56.25,25.80,100
"2021-07-31 17:00:00",52.86,25.90,100
"2021-07-31 16:50:00",56.24,25.90,100
"2021-07-31 16:40:00",53.38,25.90,100
"2021-07-31 16:30:00",56.19,25.90,100
"2021-07-31 16:20:00",56.23,25.90,100
"2021-07-31 16:10:00",52.75,26.20,100
"2021-07-31 16:00:00",52.58,26.10,100
"2021-07-31 15:50:00",56.15,26.20,100
"2021-07-31 15:40:00",56.16,26.20,100
"2021-07-31 15:30:00",56.18,26.20,100
"2021-07-31 15:20:00",53.33,26.30,100
"2021-07-31 15:10:00",53.26,26.30,100
"2021-07-31 15:00:00",53.18,26.40,100
"2021-07-31 14:50:00",53.22,26.20,100
"2021-07-31 14:40:00",53.22,26.20,100
"2021-07-31 14:30:00",53.25,26.30,100
"2021-07-31 14:20:00",53.16,26.30,100
"2021-07-31 14:10:00",53.27,26.20,100
"2021-07-31 14:00:00",56.08,26.30,100
"2021-07-31 13:50:00",56.07,26.50,100
"2021-07-31 13:40:00",56.05,26.30,100
"2021-07-31 13:30:00",56.05,26.30,100
"2021-07-31 13:20:00",56.01,26.30,100
"2021-07-31 13:10:00",56.02,26.20,100
"2021-07-31 13:00:00",55.97,26.10,97
"2021-07-31 12:50:00",55.97,26.00,96
"2021-07-31 12:40:00",55.97,26.00,96
"2021-07-31 12:30:00",55.94,26.10,96
"2021-07-31 12:20:00",55.90,25.90,95
"2021-07-31 12:10:00",55.87,25.80,95
"2021-07-31 12:00:00",55.86,25.90,94
"2021-07-31 11:50:00",55.79,25.70,94
"2021-07-31 11:40:00",55.77,25.60,93
"2021-07-31 11:30:00",55.74,25.50,93
"2021-07-31 11:20:00",55.73,25.50,92
"2021-07-31 11:10:00",55.70,25.40,91
"2021-07-31 11:00:00",55.62,25.20,90
"2021-07-31 10:50:00",55.60,25.30,90
"2021-07-31 10:40:00",55.57,25.10,89
"2021-07-31 10:30:00",55.41,,88
"2021-07-31 10:20:00",55.45,24.90,87
"2021-07-31 10:10:00",55.38,24.90,86
"2021-07-31 10:00:00",54.88,24.70,84
"2021-07-31 09:50:00",55.22,24.70,83
"2021-07-31 09:40:00",55.22,24.50,82
"2021-07-31 09:30:00",54.15,24.20,81
"2021-07-31 09:20:00",53.59,24.10,80
"2021-07-31 09:10:00",53.69,24.10,79
"2021-07-31 09:00:00",52.43,23.90,78
"2021-07-31 08:50:00",52.75,24.00,77
"2021-07-31 08:40:00",53.48,23.80,76
"2021-07-31 08:30:00",52.40,23.80,76
"2021-07-31 08:20:00",52.04,23.80,75
"2021-07-31 08:10:00",51.96,23.60,75
"2021-07-31 08:00:00",51.79,23.60,75
"2021-07-31 07:50:00",52.54,23.70,75
"2021-07-31 07:40:00",52.67,23.60,74
"2021-07-31 07:30:00",52.11,23.50,74
"2021-07-31 07:20:00",51.69,23.50,73
"2021-07-31 07:10:00",51.62,23.40,73
"2021-07-31 07:00:00",51.41,23.40,73
"2021-07-31 06:50:00",50.47,23.40,73
"2021-07-31 06:40:00",50.26,23.40,73
"2021-07-31 06:30:00",50.34,23.40,73
"2021-07-31 06:20:00",49.65,23.40,73
"2021-07-31 06:10:00",49.64,23.60,73
"2021-07-31 06:00:00",49.50,23.60,73
"2021-07-31 05:50:00",49.55,23.60,74
"2021-07-31 05:40:00",49.23,23.50,74
"2021-07-31 05:30:00",49.33,23.50,75
"2021-07-31 05:20:00",49.28,23.50,75
"2021-07-31 05:10:00",49.69,23.50,76
"2021-07-31 05:00:00",49.41,23.40,76
"2021-07-31 04:50:00",49.66,23.10,77
"2021-07-31 04:40:00",49.35,23.10,78
"2021-07-31 04:30:00",49.77,23.20,78
"2021-07-31 04:20:00",49.64,23.20,79
"2021-07-31 04:10:00",49.57,23.30,80
"2021-07-31 04:00:00",49.69,23.30,80
"2021-07-31 03:50:00",49.81,23.30,81
"2021-07-31 03:40:00",49.75,23.50,81
"2021-07-31 03:30:00",49.86,23.40,82
