#"Instantaneous Power Usage"
#"Building: Utility Building, Meter: Allen Bradley 3000"
"Date","totalRealPower (W)"
"2021-07-31 23:59:00",7157
"2021-07-31 23:58:00",7160
"2021-07-31 23:57:00",7224
"2021-07-31 23:56:00",7544
"2021-07-31 23:55:00",8130
"2021-07-31 23:54:00",12336
"2021-07-31 23:53:00",9216
"2021-07-31 23:52:00",8731
"2021-07-31 23:51:00",9363
"2021-07-31 23:50:00",8303
"2021-07-31 23:49:00",8187
"2021-07-31 23:48:00",8413
"2021-07-31 23:47:00",10004
"2021-07-31 23:46:00",8503
"2021-07-31 23:45:00",9397
"2021-07-31 23:44:00",9587
"2021-07-31 23:43:00",9703
"2021-07-31 23:42:00",8799
"2021-07-31 23:41:00",8871
"2021-07-31 23:40:00",8705
"2021-07-31 23:39:00",7438
"2021-07-31 23:38:00",7488
"2021-07-31 23:37:00",6425
"2021-07-31 23:36:00",6429
"2021-07-31 23:35:00",7053
"2021-07-31 23:34:00",8739
"2021-07-31 23:33:00",8551
"2021-07-31 23:32:00",6314
"2021-07-31 23:31:00",6470
"2021-07-31 23:30:00",7200
"2021-07-31 23:29:00",7340
"2021-07-31 23:28:00",6459
"2021-07-31 23:27:00",9099
"2021-07-31 23:26:00",7505
"2021-07-31 23:25:00",7785
"2021-07-31 23:24:00",7865
"2021-07-31 23:23:00",7889
"2021-07-31 23:22:00",7253
"2021-07-31 23:21:00",9370
"2021-07-31 23:20:00",9799
"2021-07-31 23:19:00",7458
"2021-07-31 23:18:00",8108
"2021-07-31 23:17:00",8214
"2021-07-31 23:16:00",7394
"2021-07-31 23:15:00",8144
"2021-07-31 23:14:00",9907
"2021-07-31 23:13:00",9916
"2021-07-31 23:12:00",10171
"2021-07-31 23:11:00",10245
"2021-07-31 23:10:00",7676
"2021-07-31 23:09:00",7626
"2021-07-31 23:08:00",8533
"2021-07-31 23:07:00",9299
"2021-07-31 23:06:00",7883
"2021-07-31 23:05:00",9302
"2021-07-31 23:04:00",8472
"2021-07-31 23:03:00",8865
"2021-07-31 23:02:00",7087
"2021-07-31 23:01:00",8250
"2021-07-31 23:00:00",8387
"2021-07-31 22:59:00",6569
"2021-07-31 22:58:00",6565
"2021-07-31 22:57:00",6568
"2021-07-31 22:56:00",6614
"2021-07-31 22:55:00",6545
"2021-07-31 22:54:00",8741
"2021-07-31 22:53:00",9196
"2021-07-31 22:52:00",8071
"2021-07-31 22:51:00",8094
"2021-07-31 22:50:00",7164
"2021-07-31 22:49:00",8091
"2021-07-31 22:48:00",8168
"2021-07-31 22:47:00",9735
"2021-07-31 22:46:00",8135
"2021-07-31 22:45:00",8692
"2021-07-31 22:44:00",8806
"2021-07-31 22:43:00",8786
"2021-07-31 22:42:00",7778
"2021-07-31 22:41:00",9326
"2021-07-31 22:40:00",9601
"2021-07-31 22:39:00",9611
"2021-07-31 22:38:00",9496
"2021-07-31 22:37:00",8695
"2021-07-31 22:36:00",8837
"2021-07-31 22:35:00",12532
"2021-07-31 22:34:00",10272
"2021-07-31 22:33:00",11217
"2021-07-31 22:32:00",9001
"2021-07-31 22:31:00",8999
"2021-07-31 22:30:00",9017
"2021-07-31 22:29:00",8916
"2021-07-31 22:28:00",8945
"2021-07-31 22:27:00",10590
"2021-07-31 22:26:00",8159
"2021-07-31 22:25:00",8443
"2021-07-31 22:24:00",8502
"2021-07-31 22:23:00",8626
"2021-07-31 22:22:00",8003
"2021-07-31 22:21:00",9622
"2021-07-31 22:20:00",9772
"2021-07-31 22:19:00",7265
"2021-07-31 22:18:00",7363
"2021-07-31 22:17:00",8170
"2021-07-31 22:16:00",7051
"2021-07-31 22:15:00",8289
"2021-07-31 22:14:00",10347
"2021-07-31 22:13:00",8443
"2021-07-31 22:12:00",7944
"2021-07-31 22:11:00",7929
"2021-07-31 22:10:00",7882
"2021-07-31 22:09:00",7902
"2021-07-31 22:08:00",7914
"2021-07-31 22:07:00",9673
"2021-07-31 22:06:00",9098
"2021-07-31 22:05:00",10580
"2021-07-31 22:04:00",8641
"2021-07-31 22:03:00",7979
"2021-07-31 22:02:00",7948
"2021-07-31 22:01:00",10696
"2021-07-31 22:00:00",10643
"2021-07-31 21:59:00",9103
"2021-07-31 21:58:00",9181
"2021-07-31 21:57:00",10655
"2021-07-31 21:56:00",9126
"2021-07-31 21:55:00",12263
"2021-07-31 21:54:00",13003
"2021-07-31 21:53:00",11677
"2021-07-31 21:52:00",9248
"2021-07-31 21:51:00",10149
"2021-07-31 21:50:00",8979
"2021-07-31 21:49:00",8968
"2021-07-31 21:48:00",8938
"2021-07-31 21:47:00",10744
"2021-07-31 21:46:00",9727
"2021-07-31 21:45:00",9839
"2021-07-31 21:44:00",9794
"2021-07-31 21:43:00",9147
"2021-07-31 21:42:00",9094
"2021-07-31 21:41:00",11784
"2021-07-31 21:40:00",11507
"2021-07-31 21:39:00",10658
"2021-07-31 21:38:00",9783
"2021-07-31 21:37:00",9889
"2021-07-31 21:36:00",11023
"2021-07-31 21:35:00",9526
"2021-07-31 21:34:00",11553
"2021-07-31 21:33:00",11513
"2021-07-31 21:32:00",9892
"2021-07-31 21:31:00",9783
"2021-07-31 21:30:00",9806
"2021-07-31 21:29:00",10677
"2021-07-31 21:28:00",10622
"2021-07-31 21:27:00",11540
"2021-07-31 21:26:00",11450
"2021-07-31 21:25:00",11482
"2021-07-31 21:24:00",10825
"2021-07-31 21:23:00",10522
"2021-07-31 21:22:00",10527
"2021-07-31 21:21:00",12589
"2021-07-31 21:20:00",13128
"2021-07-31 21:19:00",10580
"2021-07-31 21:18:00",10698
"2021-07-31 21:17:00",13712
"2021-07-31 21:16:00",11258
"2021-07-31 21:15:00",9799
"2021-07-31 21:14:00",11400
"2021-07-31 21:13:00",11256
"2021-07-31 21:12:00",8828
"2021-07-31 21:11:00",8691
"2021-07-31 21:10:00",8701
"2021-07-31 21:09:00",8763
"2021-07-31 21:08:00",7966
"2021-07-31 21:07:00",10694
"2021-07-31 21:06:00",10952
"2021-07-31 21:05:00",7714
"2021-07-31 21:04:00",8347
"2021-07-31 21:03:00",9995
"2021-07-31 21:02:00",9868
"2021-07-31 21:01:00",10982
"2021-07-31 21:00:00",10541
"2021-07-31 20:59:00",10562
"2021-07-31 20:58:00",9019
"2021-07-31 20:57:00",9097
"2021-07-31 20:56:00",9418
"2021-07-31 20:55:00",9784
"2021-07-31 20:54:00",9682
"2021-07-31 20:53:00",11208
"2021-07-31 20:52:00",10369
"2021-07-31 20:51:00",10334
"2021-07-31 20:50:00",10296
"2021-07-31 20:49:00",10348
"2021-07-31 20:48:00",10430
"2021-07-31 20:47:00",10202
"2021-07-31 20:46:00",10347
"2021-07-31 20:45:00",10448
"2021-07-31 20:44:00",11423
"2021-07-31 20:43:00",9427
"2021-07-31 20:42:00",11281
"2021-07-31 20:41:00",10066
"2021-07-31 20:40:00",8626
"2021-07-31 20:39:00",10670
